biasedtugwar	csi	easytugwar	eyecolor	hurricane	if	mixedcondition	mog1	multiplebranches
0.3254455842609117	0.15366398796145236	0.12310816971276932	0.7762123041545197	0.09156680647240407	0.31795072013521875	0.08390377450462594	0.1669868947767534	0.14588918197450243
0.17210455355082016	0.27220814430536566	0.10864388740018903	0.23159061259382382	0.15545394334866036	0.3264955744463136	0.11764446025241673	0.24668199893979173	0.11271740415078303
0.3556163064816929	0.18760906204558148	0.13498419210744222		0.20548683426884326	0.4314170489876196	0.12010893839139215	0.18867769297476536	0.12596648726297605
0.18671527452641304	0.13355666207243483	0.0665560832394752		0.0650950618876469	0.47618532737866276	0.06495949231029839	0.13904578010795612	0.08433043117964134
0.12876799085432816	0.5603564065296592	0.19771374048574974		0.11442540598836788	0.49379159677477336	0.22071755017440797	0.11297462820286629	0.07213030991142076
0.2533080215213703	0.34278348089697974	0.12505110495144586		0.14929739924256924	0.49713990850889034	0.04413397979784351	0.19248899974000333	0.07308198305571668
0.14693703750137305	0.12978527948666044	0.11576073422754743		0.14738216904120804	0.5359375364801784	0.01238401671125854	0.30737831402849924	0.11098154282223097
0.15422150322085382	0.16517047293330142	0.12528646258988335		0.13826247856130244	0.4147611000772673	0.051148456677785226	0.25924173475510426	0.14903816339809356
0.21459813050038137	0.21115259621751073	0.11549335232236624		0.08579488841640581	0.5783284306516381	0.34675089038907286	0.16824399892230574	0.0996107696431925
0.1734417570694702	0.13733247760392214	0.09591629932544272		0.12403830056773073	0.46253881868102187	0.3568295876024154	0.23762615963262945	0.17818278958902753
0.35920993759555764	0.15465859390238884	0.09311358311463794		0.2306689364748241	0.39458327153721495	0.12859108288825072	0.31547385903859415	0.0943470943577129
0.18181737745276425		0.13291687525315382		0.17655318872337697	0.39677875774271254	0.09069192238738	0.20814645937834358	0.08327389144436324
0.07812341259396004		0.12315570778142464		0.12234367183999216	0.463028257558979	0.17482096076096462	0.2127069687480288	0.08485231212648153
0.14155836440788022		0.12242867046108495		0.09641821827139825	0.3842133794137188	0.09117416364676076	0.26734287950618996	0.10794218526763505
0.27694802092035176		0.14366705710166275		0.040565590865782236	0.5497716839520711	0.3060622716345867	0.1629332684803797	0.103725234543422
0.16435002176556968		0.11361850067449451		0.10684320329705674	0.38467785581569963	0.04031857016655278	0.2904337779595573	0.1065650543185499
0.4142569082603814		0.10302328994311202		0.17009534349665517	0.4335026022422259	0.07474814627540334	0.24511611803636468	0.13959142486918472
0.030524040065861697		0.09083419599611053		0.2657101517574695	0.36679294561137227	0.19553737224222642	0.1362851081596003	0.07214217880674298
0.07935501960853263		0.12031152442332972		0.11439351613328509	0.3956237820506764	0.045247216483357076	0.21220733059967217	0.09656238730075051
0.14513298320099954		0.21218239410316342		0.15418261010879789	0.3915996286718496	0.25925698097163646	0.16585155315059555	0.1228941414137081
0.5636933544526633		0.10658851795646948		0.1972511126072898	0.6113508484471687	0.9286164940583905	0.2536503737815525	0.12699489174104134
0.1632584881835314		0.11493744202021527		0.11946063090914137	0.2808118665448312	0.05006472438355556	0.2563441844210599	0.08850896078118078
0.12959415610869238		0.10126367386362936		0.13812401493346646	0.2973705711832412	0.08553900869724279	0.28225974708263896	0.1408305378573406
0.21164004302034717		0.1486570561705488		0.11433078141172674	0.21870865751874383	0.06996555395927435	0.17916243113012753	0.09009761576211979
0.13385565335288407		0.16514171307199185		0.11661153445637513	0.48753344474928223	0.12551603135074016	0.27439082556512756	0.1504999245368149
0.37208003803884626		0.17579042086300262		0.1575346051172754	0.490567414265141	0.10323149700157437	0.08172079576528717	0.07793836151817725
0.6447345801873283		0.10671366120357184		0.09723984373995143	0.35361342356620634	0.3802793019784951	0.2992985272716742	0.07959041245639964
0.17744830946122558		0.08405750310565005		0.16559343057221432	0.6155443373813868	0.12086127615142316	0.1788591739517492	0.14948970274833304
0.15801803168566583		0.1417406294892347		0.147596779543455	0.5324216623261617	0.08478225081187853	0.2889104242517108	0.12097202023299204
0.051736068358253624		0.13669910389350587		0.10414575590904461	0.6040891972586347	0.0939319300627039	0.18107535589531729	0.22722182734944182
